nombre,params,metrics
ES4,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.008925
rmse                 0.090929
mae                  0.072839
mape                 0.203443
mdape                0.138617
smape                0.179344
coverage             0.761611"
ES4,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.084704
rmse                 0.261411
mae                  0.249878
mape                 0.565448
mdape                0.526099
smape                0.864013
coverage             0.985818"
ES5,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.011601
rmse                 0.104988
mae                  0.082921
mape                  0.22708
mdape                0.127049
smape                0.184362
coverage             0.777982"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.013723
rmse                 0.114771
mae                  0.093177
mape                 0.259225
mdape                0.148845
smape                0.206104
coverage             0.706553"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.015475
rmse                 0.121946
mae                  0.100451
mape                 0.284459
mdape                0.166319
smape                0.221517
coverage             0.672902"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.013152
rmse                 0.112233
mae                   0.09074
mape                 0.253108
mdape                0.142204
smape                0.201734
coverage             0.725099"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.116804
rmse                 0.324738
mae                  0.299694
mape                 0.640899
mdape                0.555133
smape                0.453182
coverage             0.652747"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.061741
rmse                 0.238011
mae                  0.213754
mape                 0.470113
mdape                0.397306
smape                0.354416
coverage             0.256511"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.016513
rmse                  0.12189
mae                  0.097915
mape                 0.237819
mdape                0.165763
smape                0.197988
coverage             0.948609"
ES5,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.010118
rmse                 0.097789
mae                  0.074562
mape                 0.184188
mdape                0.120645
smape                0.160207
coverage             0.839333"
ES5,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.013348
rmse                 0.113089
mae                  0.091589
mape                 0.255838
mdape                0.144531
smape                0.203502
coverage             0.713344"
ES5,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.234999
rmse                 0.438702
mae                  0.424616
mape                  0.90791
mdape                 0.67698
smape                1.242036
coverage             0.713369"
ES6,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.043422
rmse                 0.206522
mae                  0.191449
mape                  0.43282
mdape                0.295131
smape                0.380262
coverage              0.25864"
ES6,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                   0.02168
rmse                 0.138228
mae                  0.106042
mape                 0.401032
mdape                0.145579
smape                0.177397
coverage             0.744467"
ES6,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.015841
rmse                 0.116219
mae                  0.083367
mape                 0.346701
mdape                0.103106
smape                 0.14564
coverage             0.865221"
ES6,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.017993
rmse                 0.124421
mae                  0.091712
mape                 0.367621
mdape                0.119589
smape                 0.15745
coverage             0.807625"
ES6,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.015133
rmse                 0.113446
mae                  0.082227
mape                 0.339835
mdape                0.105098
smape                0.144917
coverage             0.948376"
ES6,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.014187
rmse                 0.110624
mae                  0.079531
mape                 0.329131
mdape                0.098574
smape                0.141266
coverage             0.876287"
ES6,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.068842
rmse                 0.236727
mae                  0.217188
mape                 0.472142
mdape                0.328853
smape                0.447315
coverage             0.723784"
ES6,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.083859
rmse                 0.285343
mae                  0.272765
mape                 0.548926
mdape                0.417757
smape                0.613528
coverage             0.078474"
ES6,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.015606
rmse                 0.115838
mae                  0.083718
mape                 0.341858
mdape                0.105622
smape                0.146607
coverage             0.853867"
ES6,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                   0.01602
rmse                  0.11729
mae                  0.084492
mape                 0.348768
mdape                0.107123
smape                0.147374
coverage             0.975516"
ES8,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.014258
rmse                 0.117765
mae                  0.096424
mape                 0.328688
mdape                0.208232
smape                0.233192
coverage             0.674308"
ES8,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.011157
rmse                 0.102882
mae                  0.081092
mape                 0.279759
mdape                0.167848
smape                0.201665
coverage              0.84764"
ES8,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.011933
rmse                 0.106338
mae                  0.085601
mape                 0.234804
mdape                0.177984
smape                0.218619
coverage             0.735078"
