nombre,params,metrics
ES2,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.002058
rmse                 0.044925
mae                  0.036385
mape                 0.196532
mdape                0.169358
smape                0.207308
coverage             0.707934"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001662
rmse                 0.040264
mae                  0.032212
mape                 0.198117
mdape                0.145638
smape                0.173388
coverage             0.772346"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                    0.0017
rmse                 0.040709
mae                  0.032448
mape                 0.185314
mdape                0.149566
smape                0.178798
coverage              0.92011"
ES3,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.000954
rmse                 0.030119
mae                   0.02436
mape                 0.265449
mdape                0.197082
smape                0.233639
coverage              0.74946"
ES3,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.002166
rmse                 0.045258
mae                  0.037596
mape                  0.32873
mdape                0.332731
smape                0.401305
coverage             0.609436"
ES3,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.001599
rmse                 0.038327
mae                  0.031262
mape                 0.282121
mdape                0.260026
smape                0.307285
coverage             0.610319"
ES3,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.005461
rmse                 0.072581
mae                  0.066746
mape                 0.603237
mdape                0.636869
smape                0.912449
coverage              0.20427"
ES3,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.018553
rmse                 0.122988
mae                   0.11715
mape                 1.003462
mdape                0.994467
smape                1.573552
coverage             0.887965"
ES3,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.013427
rmse                 0.107599
mae                  0.102081
mape                 0.878847
mdape                0.887049
smape                1.527469
coverage             0.097349"
ES3,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.027083
rmse                 0.150051
mae                  0.143629
mape                 1.246528
mdape                1.227854
smape                1.763018
coverage             0.624821"
